CNPJ,IVA
00029372000302,ZZ
18266818000116,ZZ
37382249000119,ZZ
02476067000122,ZZ
05001487000140,ZZ
34760418000119,ZZ
52690875000166,ZZ
33136039000190,ZZ
60567535000170,ZZ
46765747000131,ZZ
20800258000180,ZZ
20801598000125,ZZ
64337656000187,S0
11102029000109,ZZ
48927482000156,S0
15673354000174,S0
04069709000102,S0
07041060000100,ZZ
07036880000103,S0
36719907000152,S0
02735924000161,ZZ
30877250000175,ZZ
43555038000133,ZZ
30181816000120,S0
00842216000102,S0
33508150000160,S0
15407238000103,ZZ
04238160000396,S0
17511628000154,S0
56805869000168,ZZ
49802577000106,ZZ
27785089000103,ZZ
26068396000100,S0
07156042000246,ZZ
37917657000128,ZZ
56106121000177,S0
51106173000120,S0
37381902000125,S0
32188563000141,ZZ
