CNPJ,IVA
46591298000152,S0
00029372000302,ZZ
67531575000101,ZZ
33521805000210,Z5
50617322000152,ZZ
46652218000121,ZZ
20755503000184,ZZ
49754696000130,ZZ
45934211000130,ZZ
58513440000122,ZZ
21917085000147,ZZ
49618725000137,ZZ
47094243000108,ZZ
25131517000140,ZZ
52270948000160,ZZ
63697648000260,ZZ
09092759000116,S0
10520565000153,S0
22504519000140,ZZ
05691252000128,ZZ
57517426000134,ZZ
08733244000195,ZZ
21430164000129,ZZ
37846327000199,ZZ
54891076000183,ZZ
55885168000113,ZZ
55097390000151,ZZ
64199589000181,ZZ
54710550000123,S0
34697997000100,S0
09620977000186,S0
05805349000114,ZZ
66630528000152,S0
67510907000171,ZZ
39922388000113,ZZ
39144796000191,ZZ
59423765000187,ZZ
50650991000126,ZZ
51048187000134,ZZ
04306284000108,ZZ
51028617000156,ZZ
10249516000128,ZZ
53813017000124,ZZ
08314044000106,S0
08517301000107,ZZ
59306476000106,S0
10489713000114,S0
26931290000180,ZZ
02476067000122,ZZ
03839536000193,ZZ
35211638000156,S0
58295213002383,ZZ
50195471000170,S0
33983908000111,S0
44932602000152,ZZ
40878771000109,S0
27287070000129,ZZ
42618412000130,ZZ
04339655000140,ZZ
59520829000168,ZZ
52557696000155,S0
44270900000124,ZZ
15865143000133,ZZ
26157773000170,ZZ
51490624000175,ZZ
36576084000153,S0
54971291000194,ZZ
11303967000169,S0
00701839000157,ZZ
22650224000181,S0
05047754000110,ZZ
62610157000196,ZZ
49330708000108,ZZ
20773672000147,ZZ
15836009000104,ZZ
55812774000109,ZZ
47512944000101,ZZ
25006149000109,S0
64918379000104,ZZ
36204214000127,ZZ
52690875000166,ZZ
60192489000172,ZZ
55607858000100,ZZ
39230436000102,ZZ
36307626000192,ZZ
59284436000100,S0
27483521000101,ZZ
54532070000110,ZZ
36429035000198,ZZ
46285210000174,ZZ
12994228000123,ZZ
41883096000160,ZZ
49155988000157,ZZ
52232701000150,ZZ
55360100000110,ZZ
10416729000105,S0
