CNPJ,IVA
36964935000135,S0
10756008000136,ZZ
58306871000118,ZZ
01936069000194,S0
01449930000947,ZZ
52004189000194,ZZ
40496165000110,ZZ
46563938000110,ZZ
33136039000190,ZZ
56805869000168,ZZ
00995353000179,ZZ
58094328000102,ZZ
60509239000709,S0
37018260000102,ZZ
37405842000133,S0
36770431000184,S0
04276380000142,ZZ
07098450000108,S0
64201831000104,ZZ
66885134000145,ZZ
42777456000102,ZZ
63261863000132,S0
61966308000180,S0
41656845000117,S0
65178987000184,S0
33460859000132,ZZ
36034737000172,ZZ
54299304000120,ZZ
53574858000126,ZZ
59858422000145,ZZ
63818113000119,ZZ
52919139000137,ZZ
32169892000145,S0
11935991000110,ZZ
32767173000126,S0
10542126000141,S0
30658633000314,ZZ
61344261000113,S0
28287705000150,ZZ
20405933000176,ZZ
44041955000162,S0
54089298000187,S0
65125829000166,ZZ
12932801000174,ZZ
24300085000191,ZZ
07532827000195,S0
22024005000197,S0
00028986000965,ZZ
32188563000141,ZZ
45919824000106,ZZ
00603542000230,ZZ
29511607000118,ZZ
21918040000197,ZZ
11102029000109,ZZ
57136042000171,ZZ
50513244000146,ZZ
60860087015805,S0
64337656000187,ZZ
48927482000156,S0
01618030000129,ZZ
21583219000130,ZZ
37917657000128,ZZ
46115394000124,S0
53362764000193,S0
55599193000130,ZZ
80680093000181,ZZ
09675777000120,S0
55653119000155,S0
49428075000167,S0
06298949000104,S0
14647538000105,S0
15673354000174,S0
21045717000120,S0
04069709000102,S0
13347016000117,S0
36894630000102,ZZ
10769033000154,S0
07041060000100,S0
01473103000131,S0
07036880000103,S0
37372331000162,S0
06860022000108,ZZ
26022740000112,S0
58216191000103,S0
15407238000103,ZZ
39507952000131,S0
30712200000138,ZZ
08623106000153,ZZ
20740758000173,S0
05439459000100,S0
21081581000103,S0
17416961000184,S0
07210733000108,ZZ
18097166000133,ZZ
01380327000107,ZZ
25404225000134,ZZ
24344543000194,S0
67423152000178,ZZ
18435692000166,S0
13075458000151,S0
19378769008665,ZZ
19378769005305,ZZ
01588888000198,ZZ
03656766000389,S0
07443449000173,ZZ
41324128000198,ZZ
54646936000113,ZZ
21512826000100,S0
46619415000149,ZZ
36810276000182,ZZ
44395601000116,S0
07413922000170,S0
49636838000165,ZZ
07393407000175,ZZ
03063405000167,S0
51106173000120,S0
44085776000127,S0
39757783000198,ZZ
46014952000165,ZZ
36694146000121,S0
02543748000166,ZZ
05372051000168,S0
31924816000135,S0
00842216000102,S0
01945638000168,S0
03243617000126,S0
19378769000176,S0
62997438000143,ZZ
35006672000199,ZZ
66043352000132,ZZ
37465909000125,ZZ
02289944000156,ZZ
13021784000186,S0
14813328000131,ZZ
53753147000119,S0
16959244000136,S0
19597209000102,ZZ
42152574000125,S0
46048987000115,S0
10965224000191,S0
64533740000176,S0
22687094000151,S0
30181816000120,S0
01950338000177,ZZ
24831893000185,S0
49759122000155,S0
03852519000196,S0
57027338000154,S0
65753211000140,S0
03387711000159,S0
36364306000174,S0
50973503000111,ZZ
59579253000104,ZZ
17511628000154,S0
18266818000116,ZZ
45937692000137,ZZ
64356674000106,ZZ
05399512000196,S0
33682985000131,S0
37827876000116,S0
00173428000136,S0
28017096000110,ZZ
59224716000115,S0
18218939000192,S0
63785761000116,ZZ
46657387000154,ZZ
29562894000195,ZZ
41567450000148,S0
34625698000152,S0
50768146000150,S0
54226557000174,S0
34797943000109,ZZ
59312165000141,S0
20257981000164,S0
39951111000119,S0
26431566000161,S0
30578204000175,S0
17284393000105,S0
14799775000183,S0
47624202000178,ZZ
49834953000144,ZZ
03959575000124,S0
62239915000101,ZZ
53335343000173,S0
40167032000109,S0
40288593000158,S0
46901200000116,S0
13938145000180,ZZ
46972455000170,S0
48000419000170,S0
82223017134,ZZ
30111418000137,ZZ
51151581000101,S0
53482002000120,S0
47532366000175,ZZ
14726404000171,S0
63863189000166,S0
35980970000185,S0
61322564000135,S0
35818414000107,S0
37381902000125,S0
15255122000104,S0
49802577000106,ZZ
29405112000104,S0
02498688000107,S0
16798938000139,ZZ
37382249000119,ZZ
23606856000100,S0
09012911000103,S0
49623735000160,S0
36119800000173,S0
35473014000611,S0
26068396000100,S0
39860189000128,S0
47394582000100,S0
45261397000103,ZZ
60649312000152,S0
41981578000153,ZZ
31264212000100,ZZ
29186133000186,ZZ
42439759000115,ZZ
61929834000170,S0
31196138000131,ZZ
14096190000105,S0
50698401000135,S0
48667722000120,S0
