CNPJ,IVA
02812468000106,S0
02928625000143,ZZ
08314044000106,S0
05805349000114,ZZ
56277197000165,ZZ
26462804000104,S0
45239509000120,ZZ
59456277000338,S0
04740876000125,S0
02572550000100,ZZ
62610157000196,ZZ
15769157000153,ZZ
03009915000156,ZZ
30423533000147,S0
14417648000172,ZZ
02351877000152,S0
24462660000152,S0
64267422000100,S0
02560878000107,S0
24942732000169,ZZ
06881175000131,ZZ
05554900000102,ZZ
80680093000181,S0
60860087019894,S0
07041060000100,ZZ
49800975000193,S0
25404225000134,ZZ
17596779000152,S0
00547851000159,S0
01950338000177,ZZ
07413922000170,S0
26386870000649,ZZ
02907395000136,ZZ
30181816000120,S0
15578569000106,S0
03656766000389,S0
26386870000134,ZZ
30053246000192,S0
59951451000157,S0
15559082000186,S0
21526849000173,S0
13156651000117,ZZ
60509239000709,S0
56966580000120,S0
13131591000188,ZZ
59706229000199,S0
31257763000146,S0
01021914000100,ZZ
40178030000107,S0
