1400,13270520000166
1400,13270520000247
1410,00625711000151
1410,00625711000232
1410,00625711000313
1411,32402414000133
1411,32402414000567
1411,32402414000648
1412,39298922000162
1412,39298922000243
1412,39298922000324
1412,39298922000405
1413,10427478000156
1414,30779649000113
1414,30779649000202
1415,27569847000148
1415,27569847000229
1416,27434992000111
1416,27434992000200
1416,27434992000383
1416,27434992000464
1416,27434992000545
1416,27434992000626
1418,25016319000136
1420,02560878000107
1420,02560878000298
1427,35542611000146
1428,38044743000136
1429,42739608000182
1430,34329064000152
1431,42739619000162
1432,42739622000186
1433,04668694000190
1434,44179007000198
1436,44201415000107
1437,44214272000160
1438,08272562000104
1452,42897919000170
1461,44673089000122
1462,45498217000101
1466,45498207000176
1701,02780488000142
1701,02780488000223
1701,02780488000304
1801,15016827000160
1801,15016827000241
1801,15016827000322
1901,26878439000105
2001,12955953000192
2201,06292778000106
2301,72576143000157
2901,01011865000116
