CNPJ,IVA
00029372000302,ZZ
26021353000161,ZZ
51880754000114,ZZ
27373774000203,Z5
35670701000112,S0
08270812000169,ZZ
14193966000105,ZZ
07607754000153,ZZ
48256243000111,ZZ
65946522000126,ZZ
43617272000148,ZZ
56084945000193,ZZ
36618041000193,S0
37897944000113,ZZ
53302014000126,S0
29985191000170,ZZ
44894292000129,S0
43272843000150,ZZ
44174943000106,ZZ
12433420001201,ZZ
63451166000144,ZZ
61293738000189,ZZ
02958872000273,ZZ
24424804000186,ZZ
11197391000100,ZZ
15425890000150,ZZ
50917729000103,ZZ
54606725000157,ZZ
50914934000107,ZZ
41940325000131,ZZ
36926937000130,ZZ
61081552000166,ZZ
06003002000110,ZZ
24732085000160,ZZ
35271185000153,ZZ
29972378000139,ZZ
44962786000101,Z5
45790248000131,ZZ
19378769000176,S0
46400854000166,ZZ
24893646000103,ZZ
31621559000162,ZZ
54710550000123,ZZ
50915631000109,ZZ
52973473000179,ZZ
49581914000182,ZZ
03903771000187,ZZ
56823544000108,ZZ
17867349000128,S0
19378769005305,ZZ
17653824000163,ZZ
38244938000120,ZZ
30133298000179,ZZ
28278009000188,ZZ
45734211000196,ZZ
23841214000196,ZZ
20088312000106,ZZ
56107065000195,ZZ
37087223000148,ZZ
66896973000169,ZZ
06163033000139,ZZ
08528126000145,ZZ
10395100000118,ZZ
09092759000116,ZZ
05324028000106,ZZ
19095726000183,ZZ
22950843000191,ZZ
26438028000107,ZZ
54830788000192,ZZ
36909431000112,ZZ
59085997000172,ZZ
23196826000173,ZZ
46977048000155,ZZ
53119163000154,ZZ
48172820000197,S0
36908074000178,ZZ
59898255000166,ZZ
45360235000122,ZZ
04119766000140,ZZ
40740798000122,S0
60726234000142,ZZ
48515129000169,ZZ
43760908000106,ZZ
49349446000115,ZZ
12000169000120,ZZ
17253959000131,ZZ
62120891000177,ZZ
57442800000180,ZZ
42697756000181,ZZ
29039158000157,ZZ
08314044000106,S0
05805349000114,ZZ
46548670000148,ZZ
47351369000102,ZZ
08517301000107,ZZ
54359729000188,ZZ
00225350000156,ZZ
12087398000124,ZZ
11052208000170,ZZ
21110310000139,ZZ
10489713000114,S0
52322494000124,ZZ
07832444000132,ZZ
47532366000175,ZZ
