CNPJ,IVA
32026021000172,ZZ
92753268005262,S0
41451169000226,ZZ
00770174000133,ZZ
60158868000146,ZZ
34899189001009,ZZ
57727258000101,S0
19378769000176,S0
25308213000106,ZZ
55601109000176,ZZ
19378769005305,ZZ
04309245000156,ZZ
09092759000116,ZZ
31323432000167,ZZ
08517301000107,ZZ
60865647000108,S0
33235238000155,ZZ
43444780000171,ZZ
37096741000128,ZZ
55813804000100,S0
45567439000139,ZZ
07080929000117,ZZ
65565122000170,ZZ
54710550000123,S0
37754417000150,S0
07403159000104,ZZ
08314044000106,S0
04306284000108,ZZ
23411783000100,ZZ
12999176000188,ZZ
25071055000113,ZZ
43512903000164,S0
05805349000114,ZZ
44962786000101,Z5
17035081000168,ZZ
10489713000114,S0
65056737000171,ZZ
44466541000185,ZZ
40958897000185,ZZ
31552125000158,ZZ
07892004000170,ZZ
23496772000161,ZZ
30000289000100,ZZ
51860911000120,ZZ
48210548000192,ZZ
18297064000161,ZZ
00087608000103,ZZ
61087431000121,ZZ
27042866000111,S0
27287070000129,S0
27841079000130,ZZ
55597790000126,ZZ
39585996000180,ZZ
34597955000785,ZZ
60454779000147,ZZ
09663715000107,ZZ
22687094000151,S0
02667694006181,S0
64184808000159,ZZ
02667694000140,S0
29440222000107,ZZ
30843879000102,ZZ
04740876000125,S0
58444437000102,ZZ
47232185000123,S0
62449723000120,ZZ
51428648000102,ZZ
49682360000100,ZZ
03856715000139,ZZ
64519752000146,ZZ
24425980000132,ZZ
52704921000139,ZZ
44225245000192,ZZ
48454758000126,ZZ
49643011000189,ZZ
13991843000149,ZZ
15501741000123,S0
03599717000190,Z5
01088476000199,ZZ
36906311000161,ZZ
46072065000143,ZZ
23605153000168,ZZ
34684364000150,ZZ
08661443000135,ZZ
19536875000130,ZZ
42383706000120,ZZ
10247469000183,ZZ
34442973000100,ZZ
27131791000145,ZZ
23149805000105,ZZ
28468656000152,ZZ
02362447000136,ZZ
31513347000161,ZZ
25969219000124,ZZ
10416729000105,S0
62610157000196,ZZ
30447708000156,ZZ
15187379000168,S0
47245026000163,ZZ
48991856000100,ZZ
61615822000171,ZZ
17986628000100,ZZ
33415976000184,ZZ
37168495000172,ZZ
11308611000118,ZZ
05761709000123,ZZ
86698883000170,ZZ
02465770000135,ZZ
24655428000130,ZZ
25252238000135,ZZ
47301782000162,ZZ
58749713000132,ZZ
11070337000191,ZZ
28360588000103,ZZ
25057622000187,ZZ
25064487000105,ZZ
66056758000150,ZZ
22368879000161,ZZ
23327871000110,ZZ
41978622000176,ZZ
53958066000155,ZZ
27550774000142,ZZ
