CNPJ,IVA
48085645000109,S0
15595735000182,S0
17284393000105,S0
20704783000100,S0
20736305000173,S0
30759579000131,S0
35868419000144,S0
39883811000113,S0
43013128000100,S0
43507749000132,S0
49306612000104,S0
51958978000100,S0
25281543000155,S0
54052877000155,S0
00776218000132,S0
04125644000167,ZZ
07115650000121,S0
07562856000108,S0
09620977000186,S0
09688063000157,ZZ
11623001000109,S0
13086849000171,ZZ
14783135000185,S0
14992876000176,S0
17280345000149,S0
18019317000135,S0
20059181000139,ZZ
20383552000133,ZZ
20809479000119,S0
21093637000140,S0
23460533000151,ZZ
23891251000109,ZZ
24899426000197,S0
25068061000111,ZZ
26679628000159,S0
27386022000198,ZZ
27450141000162,ZZ
30423533000147,S0
30545980000179,ZZ
30821270000124,S0
31024287000113,S0
31353792000101,ZZ
31715031000152,S0
31958521000180,S0
33805517000107,ZZ
34026884000175,ZZ
36338135000109,S0
36411585000180,S0
36695820000192,ZZ
37357181000118,ZZ
37622338000195,ZZ
39357512000145,S0
39501678000193,S0
40140484000199,ZZ
40152509000174,ZZ
40561897000147,ZZ
41036316000110,ZZ
41995841000163,ZZ
42264389000122,ZZ
42417869000186,ZZ
43083581000185,ZZ
44228684000159,ZZ
45868397000176,S0
46257338000124,S0
46876098000146,ZZ
47130134000190,S0
47759809000165,ZZ
47917953000182,ZZ
48017802000130,ZZ
48109759000133,S0
48884729000102,ZZ
52760578000140,ZZ
52845185000139,ZZ
52913145000187,ZZ
00822326000102,S0
01938453000126,S0
03455134000195,S0
04050482000145,S0
04308217000114,S0
04571135000168,ZZ
05399512000196,S0
06005728000192,ZZ
06160245000162,S0
06853861000107,ZZ
07164625000138,S0
07337233000204,S0
07802260000120,S0
08758853000107,ZZ
10689922000101,S0
11400344000104,S0
11491803000102,S0
13381721000130,S0
13664597000110,ZZ
14663576000143,ZZ
15187379000168,S0
18006819000121,S0
18244725000190,S0
19532107000109,S0
20314255000136,S0
20744168000119,S0
21402527000112,ZZ
22271840000121,S0
22499968000147,ZZ
23974904000113,S0
24001614000156,ZZ
26727605000172,ZZ
26986740000132,S0
27109426000134,S0
27403954000100,S0
27820209000158,S0
28045181000191,S0
28431575000188,ZZ
29186133000186,ZZ
29266234000167,S0
29974056000129,S0
30181816000120,S0
31685840000169,ZZ
32085038000109,S0
32394967000191,S0
32833370000104,S0
34093917000108,S0
34374642000172,S0
34555816000101,ZZ
35520432000108,S0
35606798000102,S0
35852392000100,S0
36045813000145,S0
39267166000104,S0
39622196000191,S0
39732051000143,ZZ
41954007000120,ZZ
42298511000181,ZZ
42298573000193,ZZ
42980523000191,S0
43588674000161,ZZ
43772053000133,ZZ
44346079000182,S0
45079413000141,ZZ
45151059000119,S0
45333453000178,ZZ
46673678000136,ZZ
46742881000117,S0
46887429000143,ZZ
47635759000104,S0
48159067000108,ZZ
48625769000121,ZZ
48686402000118,ZZ
48803980000197,S0
51546617000148,S0
51686754000188,ZZ
52502089000198,ZZ
52855859000186,S0
52939601000168,ZZ
53035066000183,ZZ
53356485000117,S0
53380239000109,ZZ
67535757000150,S0
05671199000101,ZZ
02045440000190,S0
15552333000109,S0
55277583000194,ZZ
13896693000194,S0
33180859000189,S0
11688995000141,S0
43492850000167,ZZ
54080708000129,ZZ
20740758000173,ZZ
41289811000131,S0
25080388000109,ZZ
55659032000195,ZZ
13912945000121,S0
42825902000107,S0
55972817000113,S0
45167778000128,S0
09150736000200,S0
02788674000128,S0
04970744000190,S0
56190437000190,ZZ
58146109000111,ZZ
57813851000170,ZZ
56323616000158,ZZ
58257764000147,ZZ
57973086000156,ZZ
57437268000102,ZZ
57937552000148,ZZ
44125743000163,ZZ
58144880000150,ZZ
