CNPJ,IVA
19287843000149,S0
23754174000145,S0
33017805000105,S0
36746396000168,S0
36960212000168,S0
37775420000150,S0
50411106000156,S0
54514457000143,S0
54566250000112,S0
17284393000105,S0
18054084000101,S0
21137916000168,S0
23326654000105,S0
30161486000100,S0
35267547000132,S0
39883811000113,S0
44952403000106,S0
15099936000199,S0
57271334000117,S0
56878246000115,S0
49145229000103,S0
52951896000198,S0
49346511000159,S0
50929110000100,S0
53626011000148,S0
53286540000140,S0
59555533000182,S0
33068447000151,S0
44834820000154,S0
53072390000171,S0
50014930000172,S0
35165809000158,S0
00776218000132,S0
01296921000106,S0
04125644000167,S0
04313273000147,S0
05647681000106,ZZ
05944753000179,ZZ
05958821000159,S0
06178090000191,S0
07115650000121,S0
07562856000108,S0
08385992000124,S0
09620977000186,S0
10661765000126,ZZ
13858476000100,S0
14466883000134,ZZ
14518824000162,ZZ
14783135000185,S0
19402871000160,S0
19593613000108,S0
20640606000107,S0
20809479000119,ZZ
21093637000140,S0
23856055000101,S0
24479061000141,S0
24626990000136,ZZ
24996685000136,ZZ
26469513000130,S0
27330028000143,ZZ
27350057000177,S0
27490150000187,ZZ
29502492000103,ZZ
29919365000104,ZZ
30346310000123,S0
30423533000147,S0
30821270000124,S0
30958687000133,S0
31086043000165,ZZ
31369505000151,S0
31553516000197,S0
31596148000164,ZZ
31715031000152,S0
31988599000147,ZZ
32726293000185,S0
33183651000113,ZZ
33503788000108,ZZ
33790029000173,S0
34275584000120,ZZ
34656303000189,S0
34845171000133,ZZ
34954043000128,S0
35198309000112,ZZ
35453400000137,S0
36164431000130,ZZ
36308963000102,ZZ
36321216000104,ZZ
36328540000146,ZZ
36338135000109,S0
36956016000110,ZZ
37084541000155,ZZ
37210238000151,ZZ
37518976000160,ZZ
37622338000195,S0
37947541000131,ZZ
39357512000145,S0
39370879000107,ZZ
39595344000126,ZZ
39812564000164,S0
40186596000180,ZZ
40225059000100,ZZ
40722362000100,ZZ
40751589000184,ZZ
40784271000108,ZZ
40906481000113,ZZ
40917764000160,ZZ
41129699000171,ZZ
41406606000109,ZZ
41743421000190,ZZ
41895071000187,ZZ
41938378000118,ZZ
41947376000195,ZZ
42126374000106,S0
42679880000114,ZZ
42904897000128,ZZ
43247699000100,ZZ
43447774000178,ZZ
43494938000118,ZZ
43500319000199,ZZ
43842248000102,S0
44292114000128,ZZ
44333919000172,ZZ
